id,created_at,name,email,tax_id,address,phones
CID_77322b65-fb44-446c-8fcd-fbf71d150d0a,2024-01-27,Elisa Pacheco,elisa.pacheco@exemple.com,382.710.694-03,"{'street': 'Aeroporto de Borges', 'number': '80', 'complement': '', 'locality': 'Padre Eustáquio', 'city': 'Borges de Barros', 'region_code': 'MT', 'country': 'BRA', 'postal_code': '35139-332'}","[{'country': '+55', 'area': '71960487647', 'type': 'MOBILE'}]"
CID_ea8cd53f-c02f-408e-b316-03d350dab308,2024-06-06,Valentina Costela,valentina.costela@exemple.com,984.307.615-00,"{'street': 'Estação Andrade', 'number': '247', 'complement': 'apto 1105', 'locality': 'Brasil Industrial', 'city': 'Cunha', 'region_code': 'RO', 'country': 'BRA', 'postal_code': '20186848'}","[{'country': '+55', 'area': '84971484185', 'type': 'MOBILE'}]"
CID_043bd699-82f3-4116-8eac-3896307ded58,2022-07-19,Igor Mendonça,igor.mendonça@exemple.com,538.092.647-92,"{'street': 'Loteamento Lima', 'number': '2', 'complement': 'apto 1401', 'locality': 'Vila Satélite', 'city': 'Pereira', 'region_code': 'TO', 'country': 'BRA', 'postal_code': '30989101'}","[{'country': '+55', 'area': '71994775159', 'type': 'MOBILE'}]"
CID_d9a65e7f-441d-4b06-a347-04af75119ec6,2020-03-25,Léo Silva,léo.silva@exemple.com,308.496.715-66,"{'street': 'Favela de Vargas', 'number': '3', 'complement': '', 'locality': 'Bandeirantes', 'city': 'Rodrigues de Jesus', 'region_code': 'RJ', 'country': 'BRA', 'postal_code': '58419720'}","[{'country': '+55', 'area': '21961510903', 'type': 'MOBILE'}]"
CID_4e6ba3cd-8569-4f42-b970-4a10ace38b04,2023-04-23,Emanuel Farias,emanuel.farias@exemple.com,842.137.956-91,"{'street': 'Parque Kamilly Rezende', 'number': '1', 'complement': '', 'locality': 'Unidas', 'city': 'Guerra', 'region_code': 'RR', 'country': 'BRA', 'postal_code': '52337696'}","[{'country': '+55', 'area': '84945642807', 'type': 'MOBILE'}]"
CID_36f393f3-6afe-442c-af4e-ee9c63a4741f,2022-08-19,Mariah Novais,mariah.novais@exemple.com,097.263.814-87,"{'street': 'Conjunto de Albuquerque', 'number': '66', 'complement': '', 'locality': 'Acaba Mundo', 'city': 'da Rosa', 'region_code': 'GO', 'country': 'BRA', 'postal_code': '00891319'}","[{'country': '+55', 'area': '71902714278', 'type': 'MOBILE'}]"
CID_a0968e80-f110-4303-8722-f676008fc0a9,2022-11-18,Théo Carvalho,théo.carvalho@exemple.com,512.709.438-04,"{'street': 'Área de Souza', 'number': '777', 'complement': '', 'locality': 'Marmiteiros', 'city': 'Fernandes da Praia', 'region_code': 'RR', 'country': 'BRA', 'postal_code': '36940224'}","[{'country': '+55', 'area': '31917610471', 'type': 'MOBILE'}]"
CID_e6bd2a21-ce31-4c9e-a750-c960b34b483e,2021-08-02,Amanda Fonseca,amanda.fonseca@exemple.com,824.031.675-17,"{'street': 'Loteamento Ana Clara Leão', 'number': '2', 'complement': 'apto 701', 'locality': 'Serra Do Curral', 'city': 'da Rosa', 'region_code': 'MT', 'country': 'BRA', 'postal_code': '75517-176'}","[{'country': '+55', 'area': '21959004229', 'type': 'MOBILE'}]"
CID_a24f4092-6237-4c6d-8d28-d6208afdcefa,2019-08-26,Davi Gomes,davi.gomes@exemple.com,684.397.150-48,"{'street': 'Trecho Lucas Gabriel Lopes', 'number': '25', 'complement': 'apto 1905', 'locality': 'Bela Vitoria', 'city': 'Cunha', 'region_code': 'RN', 'country': 'BRA', 'postal_code': '87317643'}","[{'country': '+55', 'area': '31929611133', 'type': 'MOBILE'}]"
CID_a7aa19a4-71ab-40c3-8505-2e5facfc0562,2022-06-07,Mariah Casa Grande,mariah.casa-grande@exemple.com,687.523.490-47,"{'street': 'Área da Rosa', 'number': '8', 'complement': '', 'locality': 'Lindéia', 'city': 'Rocha', 'region_code': 'SE', 'country': 'BRA', 'postal_code': '27586880'}","[{'country': '+55', 'area': '31913765821', 'type': 'MOBILE'}]"
